證券代碼,年月日,開盤價(元),收盤價(元)
Y9999  ,20040127,6371.5,6384.63
M2300  ,20040127,266.13,265.78
2330,20040128,27.4115,27.4115
TWN50  ,20040128,4853.86,4852.61
Y9999  ,20040128,6360.71,6386.25
M2300  ,20040128,264.72,266.69
2330,20040129,27.0055,27.0055
TWN50  ,20040129,4844.79,4790.14
Y9999  ,20040129,6348.93,6312.65
M2300  ,20040129,264.82,265.25
2330,20040130,27.0055,26.8024
TWN50  ,20040130,4787.1,4807.21
Y9999  ,20040130,6331.71,6375.38
M2300  ,20040130,265.94,267.06
2330,20040202,26.8024,26.3963
TWN50  ,20040202,4799.94,4738.27
Y9999  ,20040202,6379.98,6319.96
M2300  ,20040202,267.28,264.12
2330,20040203,25.9902,25.7872
TWN50  ,20040203,4723.7,4686.17
Y9999  ,20040203,6281.53,6252.23
M2300  ,20040203,262.41,260.72
2330,20040204,25.7872,25.3811
TWN50  ,20040204,4683.93,4658.29
Y9999  ,20040204,6271.54,6241.39
M2300  ,20040204,261.33,259.65
2330,20040205,25.3811,25.3811
TWN50  ,20040205,4653.72,4665.78
Y9999  ,20040205,6241.92,6268.14
M2300  ,20040205,259.16,259.18
2330,20040206,25.5841,25.5841
TWN50  ,20040206,4675.63,4717.07
Y9999  ,20040206,6321.15,6353.35
M2300  ,20040206,261.45,261.28
2330,20040209,25.9902,26.3963
TWN50  ,20040209,4763.71,4807.01
Y9999  ,20040209,6442.84,6463.09
M2300  ,20040209,265.21,265.84
2330,20040210,26.3963,25.9902
TWN50  ,20040210,4809.1,4791.05
Y9999  ,20040210,6489.65,6488.34
M2300  ,20040210,266.75,264.04
2330,20040211,26.1933,25.9902
TWN50  ,20040211,4794.91,4772.02
Y9999  ,20040211,6518.16,6454.39
M2300  ,20040211,264.67,262.12
2330,20040212,25.9902,26.1933
TWN50  ,20040212,4778.77,4800.53
Y9999  ,20040212,6505.53,6436.95
M2300  ,20040212,264.08,263.7
2330,20040213,26.1933,25.9902
TWN50  ,20040213,4807.31,4882.82
Y9999  ,20040213,6467.15,6549.18
M2300  ,20040213,264.64,264.68
2330,20040216,25.9902,25.3811
TWN50  ,20040216,4882.33,4865.35
Y9999  ,20040216,6566.76,6565.37
M2300  ,20040216,264.93,262.42
2330,20040217,25.3811,25.3811
TWN50  ,20040217,4871.37,4876.85
Y9999  ,20040217,6586.49,6600.47
M2300  ,20040217,262.95,263.38
2330,20040218,25.7872,25.5841
TWN50  ,20040218,4900.34,4893.47
Y9999  ,20040218,6656.1,6605.85
M2300  ,20040218,266.34,267.88
2330,20040219,25.7872,25.7872
TWN50  ,20040219,4911.11,4949.62
Y9999  ,20040219,6647.86,6681.52
M2300  ,20040219,270.64,270.57
2330,20040220,25.7872,25.7872
TWN50  ,20040220,4950.92,4938.01
Y9999  ,20040220,6692.03,6665.54
M2300  ,20040220,270.39,271.52
2330,20040223,25.5841,25.3811
TWN50  ,20040223,4945.09,4920.12
Y9999  ,20040223,6686.67,6665.89
M2300  ,20040223,272.32,270.83
2330,20040224,25.178,24.975
TWN50  ,20040224,4910.85,4856.71
Y9999  ,20040224,6650.16,6589.23
M2300  ,20040224,269.77,266.77
2330,20040225,25.178,24.975
TWN50  ,20040225,4862.1,4895.65
Y9999  ,20040225,6619.69,6644.28
M2300  ,20040225,267.84,269.82
2330,20040226,25.3811,25.7872
TWN50  ,20040226,4919.74,4950.6
Y9999  ,20040226,6709.43,6693.25
M2300  ,20040226,272.7,272.46
2330,20040227,25.7872,25.7872
TWN50  ,20040227,4957.74,4991.79
Y9999  ,20040227,6732.63,6750.54
M2300  ,20040227,273.73,273.5
2330,20040301,25.7872,26.1933
TWN50  ,20040301,5006.46,5121.49
Y9999  ,20040301,6816.79,6888.43
M2300  ,20040301,275.61,277.44
2330,20040302,26.5994,27.2085
TWN50  ,20040302,5143.77,5203.66
Y9999  ,20040302,6964.66,6975.26
M2300  ,20040302,280.63,281.99
2330,20040303,27.2085,26.8024
TWN50  ,20040303,5208.8,5160.18
Y9999  ,20040303,6981.54,6932.17
M2300  ,20040303,282.29,279.82
2330,20040304,26.8024,27.2085
TWN50  ,20040304,5167.76,5216.26
Y9999  ,20040304,6963.23,7034.1
M2300  ,20040304,280.82,284.15
2330,20040305,27.6146,27.2085
TWN50  ,20040305,5233.9,5133.21
Y9999  ,20040305,7106.31,6943.68
M2300  ,20040305,287.68,282.67
2330,20040308,26.8024,26.8024
TWN50  ,20040308,5153.6,5089.66
Y9999  ,20040308,6997.66,6901.48
M2300  ,20040308,284.38,281.26
2330,20040309,26.3963,26.5994
TWN50  ,20040309,5077.3,5133.04
Y9999  ,20040309,6901.86,6973.9
M2300  ,20040309,280.49,282.65
2330,20040310,26.3963,25.5841
TWN50  ,20040310,5124.6,5039.35
Y9999  ,20040310,6967.16,6874.91
M2300  ,20040310,281.94,277.81
2330,20040311,25.178,25.7872
TWN50  ,20040311,5013.74,5039.86
Y9999  ,20040311,6825.21,6879.11
M2300  ,20040311,275.68,277.96
2330,20040312,25.3811,25.178
TWN50  ,20040312,5012.44,4950.5
Y9999  ,20040312,6781.11,6800.24
M2300  ,20040312,274.11,273.37
2330,20040315,25.5841,24.7719
TWN50  ,20040315,5001.02,4819.98
Y9999  ,20040315,6897.78,6635.98
M2300  ,20040315,277.47,267.03
2330,20040316,24.975,24.5689
TWN50  ,20040316,4827.56,4803.64
Y9999  ,20040316,6645.43,6589.72
M2300  ,20040316,267.42,265.75
2330,20040317,24.7719,24.5689
TWN50  ,20040317,4824.24,4818
Y9999  ,20040317,6654.47,6577.98
M2300  ,20040317,268.3,265.87
2330,20040318,24.3658,25.178
TWN50  ,20040318,4809.84,4985.81
Y9999  ,20040318,6572.73,6787.03
M2300  ,20040318,266.12,274.51
2330,20040319,25.178,25.5841
TWN50  ,20040319,4987.95,5015.55
Y9999  ,20040319,6783.52,6815.09
M2300  ,20040319,274.43,275.69
2330,20040322,23.9597,23.9597
TWN50  ,20040322,4752.58,4680.3
Y9999  ,20040322,6360.33,6359.92
M2300  ,20040322,257.31,257.23
2330,20040323,22.3353,22.3353
TWN50  ,20040323,4538.31,4563.91
Y9999  ,20040323,6033.65,6172.89
M2300  ,20040323,243.24,248.96
2330,20040324,23.7567,23.5536
TWN50  ,20040324,4626.82,4635.77
Y9999  ,20040324,6265.74,6213.56
M2300  ,20040324,255.25,253.96
2330,20040325,23.9597,23.5536
TWN50  ,20040325,4654.55,4589.93
Y9999  ,20040325,6234.82,6156.73
M2300  ,20040325,255.93,251.08
2330,20040326,23.9597,23.7567
TWN50  ,20040326,4616.11,4591.81
Y9999  ,20040326,6227.17,6132.62
M2300  ,20040326,254.53,251.63
2330,20040329,24.3658,24.975
TWN50  ,20040329,4729.56,4845.89
Y9999  ,20040329,6348.86,6474.11
M2300  ,20040329,259.99,265.39
2330,20040330,24.7719,24.3658
TWN50  ,20040330,4844.52,4827.83
Y9999  ,20040330,6492.93,6494.71
M2300  ,20040330,265.59,264.8
2330,20040331,24.5689,24.3658
TWN50  ,20040331,4839.08,4844.05
Y9999  ,20040331,6554.95,6522.19
M2300  ,20040331,267.59,264.79
2330,20040401,24.1628,24.1628
TWN50  ,20040401,4828.34,4841.72
Y9999  ,20040401,6504.54,6523.49
M2300  ,20040401,264.18,267.21
2330,20040402,24.1628,24.1628
TWN50  ,20040402,4850.49,4849.44
Y9999  ,20040402,6566.76,6545.54
M2300  ,20040402,269.02,267.04
2330,20040405,24.7719,25.178
TWN50  ,20040405,4913.76,4960.42
Y9999  ,20040405,6627.23,6682.73
M2300  ,20040405,270.7,275.03
2330,20040406,25.3811,25.178
TWN50  ,20040406,4979.28,4923.64
Y9999  ,20040406,6715.9,6635.54
M2300  ,20040406,277.21,272.83
2330,20040407,24.975,24.975
TWN50  ,20040407,4922.25,4940.71
Y9999  ,20040407,6642.43,6646.74
M2300  ,20040407,272.59,273
2330,20040408,24.7719,24.7719
TWN50  ,20040408,4944.16,4957.55
Y9999  ,20040408,6666.73,6672.86
M2300  ,20040408,273.88,273.75
2330,20040409,24.5689,24.3658
TWN50  ,20040409,4951.08,4902.3
Y9999  ,20040409,6650.31,6620.36
M2300  ,20040409,272.82,272.45
2330,20040412,24.5689,24.7719
TWN50  ,20040412,4945.65,5017.55
Y9999  ,20040412,6701.36,6777.78
M2300  ,20040412,276.09,278.96
2330,20040413,24.975,24.5689
TWN50  ,20040413,5035.2,5011.66
Y9999  ,20040413,6824.23,6794.33
M2300  ,20040413,280.8,278.9
2330,20040414,24.5689,25.5841
TWN50  ,20040414,5008.03,5095.85
Y9999  ,20040414,6772.42,6880.18
M2300  ,20040414,277.45,285.52
2330,20040415,25.5841,24.7719
TWN50  ,20040415,5107.6,4993.07
Y9999  ,20040415,6905.16,6736.79
M2300  ,20040415,285.99,278.89
2330,20040416,24.5689,24.7719
TWN50  ,20040416,4987.59,5058.62
Y9999  ,20040416,6750.29,6818.2
M2300  ,20040416,278.8,283.2
2330,20040419,24.5689,24.1628
TWN50  ,20040419,5075.72,5031.32
Y9999  ,20040419,6852.45,6779.18
M2300  ,20040419,284.09,281.38
2330,20040420,24.3658,24.7719
TWN50  ,20040420,5054.18,5048.45
Y9999  ,20040420,6837.56,6799.97
M2300  ,20040420,284.17,281.64
2330,20040421,24.7719,24.975
TWN50  ,20040421,5050.07,5058.45
Y9999  ,20040421,6801.75,6810.25
M2300  ,20040421,280.8,280.84
2330,20040422,25.3811,25.178
TWN50  ,20040422,5082.78,5009.61
Y9999  ,20040422,6867.87,6732.09
M2300  ,20040422,283.56,278.16
2330,20040423,25.5841,25.9902
TWN50  ,20040423,5039.69,5039.15
Y9999  ,20040423,6791.36,6748.1
M2300  ,20040423,281.1,279.77
2330,20040426,25.9902,25.7872
TWN50  ,20040426,5040.58,5024.47
Y9999  ,20040426,6752.9,6710.7
M2300  ,20040426,280.55,278.57
2330,20040427,25.7872,25.7872
TWN50  ,20040427,5027.11,4979.07
Y9999  ,20040427,6717.52,6646.8
M2300  ,20040427,278.81,275.87
2330,20040428,25.5841,25.178
TWN50  ,20040428,4970.28,4921.22
Y9999  ,20040428,6636.3,6574.75
M2300  ,20040428,274.92,271.84
2330,20040429,24.3658,24.5689
TWN50  ,20040429,4897.32,4792.55
Y9999  ,20040429,6484.98,6402.21
M2300  ,20040429,267.26,266.48
2330,20040430,24.3658,23.3506
TWN50  ,20040430,4763.91,4572.28
Y9999  ,20040430,6331.44,6117.81
M2300  ,20040430,263.6,254.95
2330,20040503,23.3506,23.5536
TWN50  ,20040503,4561.61,4524.83
Y9999  ,20040503,6102.6,6029.77
M2300  ,20040503,254.85,251.86
2330,20040504,23.9597,23.9597
TWN50  ,20040504,4557.64,4648.18
Y9999  ,20040504,6109.5,6188.15
M2300  ,20040504,255.32,257.86
2330,20040505,23.9597,22.3353
TWN50  ,20040505,4648.96,4394.69
Y9999  ,20040505,6190.9,5854.23
M2300  ,20040505,258.13,243.32
2330,20040506,22.7414,22.5384
TWN50  ,20040506,4431.75,4443.01
Y9999  ,20040506,5940.85,5909.79
M2300  ,20040506,246.98,244.58
2330,20040507,22.3353,23.1475
TWN50  ,20040507,4435.29,4546.06
Y9999  ,20040507,5892.94,6040.26
M2300  ,20040507,243.84,249.49
2330,20040510,22.7414,22.3353
TWN50  ,20040510,4511.98,4369.5
Y9999  ,20040510,5929.72,5825.05
M2300  ,20040510,244.53,240.45
2330,20040511,22.5384,23.3506
TWN50  ,20040511,4383.05,4421.42
Y9999  ,20040511,5855.72,5886.36
M2300  ,20040511,241.53,242.6
2330,20040512,23.5536,23.3506
TWN50  ,20040512,4463.76,4467.97
Y9999  ,20040512,5970.56,5958.79
M2300  ,20040512,246.47,247.32
2330,20040513,23.1475,23.1475
TWN50  ,20040513,4455.58,4445.82
Y9999  ,20040513,5928.57,5918.09
M2300  ,20040513,245.46,245.51
2330,20040514,22.9445,22.3353
TWN50  ,20040514,4442.41,4334.46
Y9999  ,20040514,5930.3,5777.32
M2300  ,20040514,245.87,238.43
2330,20040517,21.7262,20.914
TWN50  ,20040517,4277.57,4101.08
Y9999  ,20040517,5632.58,5482.96
M2300  ,20040517,231.25,226.08
2330,20040518,21.117,21.117
TWN50  ,20040518,4111.02,4163.83
Y9999  ,20040518,5500.64,5557.68
M2300  ,20040518,227.27,229.78
2330,20040519,21.9292,22.5384
TWN50  ,20040519,4201.77,4408.15
Y9999  ,20040519,5690.18,5860.58
M2300  ,20040519,235.69,242.24
2330,20040520,21.9292,22.3353
TWN50  ,20040520,4367.86,4374.13
Y9999  ,20040520,5779.98,5815.33
M2300  ,20040520,238.81,240.36
2330,20040521,22.1323,22.3353
TWN50  ,20040521,4374.6,4470.76
Y9999  ,20040521,5836.08,5964.94
M2300  ,20040521,240.62,246.25
2330,20040524,22.3353,21.9292
TWN50  ,20040524,4470.43,4445.69
Y9999  ,20040524,5927.46,5942.08
M2300  ,20040524,244.26,245.8
2330,20040525,21.9292,22.1323
TWN50  ,20040525,4441.85,4465.63
Y9999  ,20040525,5917.08,5958.38
M2300  ,20040525,244.71,246.69
2330,20040526,22.9445,22.7414
TWN50  ,20040526,4529.41,4524.76
Y9999  ,20040526,6098.53,6027.27
M2300  ,20040526,253.49,249.63
2330,20040527,23.1475,23.1475
TWN50  ,20040527,4548.44,4530.57
Y9999  ,20040527,6068.95,6033.05
M2300  ,20040527,251.34,249.3
2330,20040528,23.3506,23.5536
TWN50  ,20040528,4547.87,4618.89
Y9999  ,20040528,6087.23,6137.26
M2300  ,20040528,251.59,253.87
2330,20040531,23.3506,22.7414
TWN50  ,20040531,4598.86,4471.24
Y9999  ,20040531,6106.19,5977.84
M2300  ,20040531,252.01,245.98
2330,20040601,22.7414,22.9445
TWN50  ,20040601,4473.82,4487.46
Y9999  ,20040601,5991.49,5986.2
M2300  ,20040601,246.37,246.62
2330,20040602,22.7414,22.5384
TWN50  ,20040602,4431.19,4398.62
Y9999  ,20040602,5908.01,5875.67
M2300  ,20040602,242.99,241.24
2330,20040603,22.5384,21.5231
TWN50  ,20040603,4406.57,4238.41
Y9999  ,20040603,5906.09,5671.45
M2300  ,20040603,242.21,231.82
2330,20040604,21.5231,21.5231
TWN50  ,20040604,4237.31,4284.57
Y9999  ,20040604,5667.08,5724.89
M2300  ,20040604,231.38,233.7
2330,20040607,22.1323,22.3353
TWN50  ,20040607,4331.09,4459.63
Y9999  ,20040607,5803.01,5935.82
M2300  ,20040607,237.19,241.79
2330,20040608,22.5384,22.9445
TWN50  ,20040608,4486.26,4499.31
Y9999  ,20040608,6004.99,5986.76
M2300  ,20040608,244.73,243.5
2330,20040609,22.5384,22.3353
TWN50  ,20040609,4485.82,4473.41
Y9999  ,20040609,5972.13,5965.7
M2300  ,20040609,242.33,241.5
2330,20040610,21.9292,21.5231
TWN50  ,20040610,4439.97,4376.61
Y9999  ,20040610,5915.96,5867.51
M2300  ,20040610,238.88,234.9
2330,20040611,21.117,20.5079
TWN50  ,20040611,4349.74,4260.31
Y9999  ,20040611,5806.83,5735.07
M2300  ,20040611,230.69,227.69
2330,20040614,20.825,20.4937
TWN50  ,20040614,4264.95,4136.66
Y9999  ,20040614,5753.23,5574.08
M2300  ,20040614,228.35,221.79
2330,20040615,20.4937,20.3517
TWN50  ,20040615,4121.11,4202.34
Y9999  ,20040615,5546.27,5646.49
M2300  ,20040615,220.92,224.47
2330,20040616,21.2509,20.5883
TWN50  ,20040616,4244.92,4151.22
Y9999  ,20040616,5722.18,5560.16
M2300  ,20040616,228.56,221.86
2330,20040617,20.4937,20.967
TWN50  ,20040617,4156.64,4250.05
Y9999  ,20040617,5558.2,5664.35
M2300  ,20040617,222.07,226.86
2330,20040618,20.6357,20.257
TWN50  ,20040618,4223.7,4178.46
Y9999  ,20040618,5628.8,5569.29
M2300  ,20040618,224.85,222.18
2330,20040621,20.967,20.5883
TWN50  ,20040621,4242.59,4182.86
Y9999  ,20040621,5666.61,5556.54
M2300  ,20040621,226.6,220.06
2330,20040623,20.6357,21.6296
TWN50  ,20040623,4200.13,4324.66
Y9999  ,20040623,5591.79,5729.3
M2300  ,20040623,221.6,225.7
2330,20040624,21.9136,21.6769
TWN50  ,20040624,4343.26,4344.37
Y9999  ,20040624,5765.65,5779.09
M2300  ,20040624,227.86,228.84
2330,20040625,21.6769,21.8662
TWN50  ,20040625,4339.13,4363.14
Y9999  ,20040625,5767.38,5802.55
M2300  ,20040625,228.12,229.94
2330,20040628,21.8189,21.7242
TWN50  ,20040628,4361.17,4280.94
Y9999  ,20040628,5806.62,5709.84
M2300  ,20040628,230.45,226.22
2330,20040629,21.5349,21.8189
TWN50  ,20040629,4265.35,4305.18
Y9999  ,20040629,5672.72,5741.52
M2300  ,20040629,225.04,227.56
2330,20040630,22.2449,22.9075
TWN50  ,20040630,4336.97,4387.41
Y9999  ,20040630,5800.89,5839.44
M2300  ,20040630,230.55,232.13
2330,20040701,22.9548,22.9075
TWN50  ,20040701,4397.03,4389.24
Y9999  ,20040701,5849.74,5836.91
M2300  ,20040701,232.88,231.73
2330,20040702,21.9136,21.8662
TWN50  ,20040702,4323.58,4305.69
Y9999  ,20040702,5738.22,5746.7
M2300  ,20040702,226.67,226.17
2330,20040705,21.2983,21.2036
TWN50  ,20040705,4267.3,4232.87
Y9999  ,20040705,5687.61,5659.78
M2300  ,20040705,222.88,221.1
2330,20040706,21.2036,21.7716
TWN50  ,20040706,4235.53,4298.29
Y9999  ,20040706,5675.32,5733.57
M2300  ,20040706,221.48,224.57
2330,20040707,21.0616,21.1563
TWN50  ,20040707,4244.56,4285.47
Y9999  ,20040707,5643.65,5727.78
M2300  ,20040707,219.65,223.04
2330,20040708,21.2983,21.2983
TWN50  ,20040708,4301.5,4280.43
Y9999  ,20040708,5743.82,5713.39
M2300  ,20040708,224.13,222.22
2330,20040709,21.4403,21.7716
TWN50  ,20040709,4290.64,4333.93
Y9999  ,20040709,5736.95,5777.72
M2300  ,20040709,223.41,226.25
2330,20040712,21.7716,21.2036
TWN50  ,20040712,4348.95,4305.83
Y9999  ,20040712,5802.35,5758.74
M2300  ,20040712,227.08,224.01
2330,20040713,20.9196,20.9196
TWN50  ,20040713,4290.83,4255.55
Y9999  ,20040713,5718.18,5685.57
M2300  ,20040713,220.86,218.75
2330,20040714,21.0616,20.9196
TWN50  ,20040714,4256.46,4214.55
Y9999  ,20040714,5695.2,5623.65
M2300  ,20040714,219.29,217.09
2330,20040715,20.4463,20.3517
TWN50  ,20040715,4193.39,4151
Y9999  ,20040715,5596.07,5542.8
M2300  ,20040715,215.45,213.22
2330,20040716,19.8784,20.115
TWN50  ,20040716,4119.1,4117.2
Y9999  ,20040716,5501.93,5502.14
M2300  ,20040716,211.11,210.89
2330,20040719,20.0204,19.973
TWN50  ,20040719,4109.56,4123.73
Y9999  ,20040719,5483.61,5489.1
M2300  ,20040719,209.85,208.67
2330,20040720,19.7364,19.6417
TWN50  ,20040720,4105.5,4005.35
Y9999  ,20040720,5453.75,5325.68
M2300  ,20040720,206.72,201.99
2330,20040721,20.0204,20.541
TWN50  ,20040721,4036.85,4073.16
Y9999  ,20040721,5388.35,5409.13
M2300  ,20040721,205.18,207.48
2330,20040722,19.8784,20.4937
TWN50  ,20040722,4014.6,4053.64
Y9999  ,20040722,5301.54,5387.96
M2300  ,20040722,202.13,207.13
2330,20040723,20.3517,20.257
TWN50  ,20040723,4050.11,4025.26
Y9999  ,20040723,5372.35,5373.85
M2300  ,20040723,207.24,207.73
2330,20040726,19.6417,19.3578
TWN50  ,20040726,3979.98,3984.54
Y9999  ,20040726,5318.67,5331.71
M2300  ,20040726,204.75,205.43
2330,20040727,19.3578,19.7364
TWN50  ,20040727,3987.57,4045.38
Y9999  ,20040727,5335.56,5398.61
M2300  ,20040727,205.44,209.06
2330,20040728,19.8784,19.7364
TWN50  ,20040728,4058.88,4026.97
Y9999  ,20040728,5431.59,5383.57
M2300  ,20040728,210.69,208.6
2330,20040729,19.7364,19.4051
TWN50  ,20040729,4023.69,3992.12
Y9999  ,20040729,5378.23,5349.66
M2300  ,20040729,208.29,206.11
2330,20040730,20.2097,20.3044
TWN50  ,20040730,4037.61,4055.79
Y9999  ,20040730,5414.7,5420.57
M2300  ,20040730,209.77,209.33
2330,20040802,20.3044,20.257
TWN50  ,20040802,4050.72,4006.33
Y9999  ,20040802,5404.19,5350.4
M2300  ,20040802,208.27,205.67
2330,20040803,20.3517,20.825
TWN50  ,20040803,4007.97,4025.47
Y9999  ,20040803,5357.56,5367.22
M2300  ,20040803,206.01,207.21
2330,20040804,20.6357,20.7303
TWN50  ,20040804,4015.86,3991.04
Y9999  ,20040804,5338.42,5316.87
M2300  ,20040804,205.95,206.17
2330,20040805,20.825,21.2983
TWN50  ,20040805,4006.76,4081.55
Y9999  ,20040805,5334.61,5427.61
M2300  ,20040805,207.31,213.55
2330,20040806,21.0616,20.825
TWN50  ,20040806,4050.95,4049.88
Y9999  ,20040806,5372.23,5399.16
M2300  ,20040806,210.95,212.51
2330,20040809,20.3517,20.4937
TWN50  ,20040809,3993.82,4040.8
Y9999  ,20040809,5332.44,5399.45
M2300  ,20040809,209.01,212.12
2330,20040810,20.4937,20.4937
TWN50  ,20040810,4045.39,4035.13
Y9999  ,20040810,5407.83,5393.73
M2300  ,20040810,212.62,210.44
2330,20040811,20.7303,20.7303
TWN50  ,20040811,4053.13,4018.19
Y9999  ,20040811,5438.43,5367.34
M2300  ,20040811,212.68,210.33
2330,20040812,20.541,20.7303
TWN50  ,20040812,4007.99,4016.65
Y9999  ,20040812,5349.53,5368.02
M2300  ,20040812,208.98,209.51
2330,20040813,20.4463,20.7303
TWN50  ,20040813,3992.15,4029.74
Y9999  ,20040813,5332.99,5389.93
M2300  ,20040813,207.48,209.74
2330,20040816,20.683,20.541
TWN50  ,20040816,4030.1,3991.94
Y9999  ,20040816,5380.64,5352.01
M2300  ,20040816,209.09,207.6
2330,20040817,20.6357,20.7303
TWN50  ,20040817,3994,3995.6
Y9999  ,20040817,5383.74,5342.49
M2300  ,20040817,209.04,207.17
2330,20040818,20.7303,21.2036
TWN50  ,20040818,4001.3,4096.09
Y9999  ,20040818,5349.24,5427.75
M2300  ,20040818,207.54,211.53
2330,20040819,21.5823,22.1502
TWN50  ,20040819,4131.92,4236.47
Y9999  ,20040819,5490.68,5602.99
M2300  ,20040819,214.74,219.55
2330,20040820,22.0082,21.9609
TWN50  ,20040820,4229.1,4235.52
Y9999  ,20040820,5601.35,5622.86
M2300  ,20040820,219.28,220.19
2330,20040823,21.9609,22.2449
TWN50  ,20040823,4243.09,4266.32
Y9999  ,20040823,5651.77,5660.97
M2300  ,20040823,221.37,222.12
2330,20040826,22.6235,23.0021
TWN50  ,20040826,4308.01,4391.58
Y9999  ,20040826,5743.39,5813.39
M2300  ,20040826,225.77,228.53
2330,20040827,22.9548,22.7182
TWN50  ,20040827,4390.84,4374.15
Y9999  ,20040827,5811.2,5797.71
M2300  ,20040827,228.29,227.71
2330,20040830,22.7182,22.7655
TWN50  ,20040830,4371.93,4362.3
Y9999  ,20040830,5791.87,5788.94
M2300  ,20040830,227.1,225.29
2330,20040831,22.6235,22.2449
TWN50  ,20040831,4341.41,4335.87
Y9999  ,20040831,5757.74,5765.54
M2300  ,20040831,223.76,223.38
2330,20040901,22.2449,22.2922
TWN50  ,20040901,4343.67,4405.11
Y9999  ,20040901,5799.82,5858.14
M2300  ,20040901,224.42,226.94
2330,20040902,22.0082,21.7242
TWN50  ,20040902,4400.51,4380.59
Y9999  ,20040902,5870.32,5852.85
M2300  ,20040902,227.26,225.8
2330,20040903,21.3929,21.0143
TWN50  ,20040903,4374.65,4299.16
Y9999  ,20040903,5859.78,5761.14
M2300  ,20040903,225.28,219.43
2330,20040906,20.7303,20.825
TWN50  ,20040906,4285.34,4311.7
Y9999  ,20040906,5747.34,5775.99
M2300  ,20040906,218.03,218.94
2330,20040907,20.825,21.0143
TWN50  ,20040907,4315.54,4376.26
Y9999  ,20040907,5786.19,5846.83
M2300  ,20040907,219.24,220.7
2330,20040908,20.967,20.7777
TWN50  ,20040908,4380.63,4363.26
Y9999  ,20040908,5866.32,5846.02
M2300  ,20040908,221.2,219.33
2330,20040909,20.7777,20.683
TWN50  ,20040909,4362.51,4363.57
Y9999  ,20040909,5853.88,5842.93
M2300  ,20040909,219.75,219.9
2330,20040910,21.2509,21.109
TWN50  ,20040910,4387.81,4369.16
Y9999  ,20040910,5876.91,5846.19
M2300  ,20040910,222.81,220.64
2330,20040913,21.7242,21.7242
TWN50  ,20040913,4379.21,4444.68
Y9999  ,20040913,5917.61,5928.22
M2300  ,20040913,224.34,223.81
2330,20040914,21.7716,21.5349
TWN50  ,20040914,4464.56,4436.45
Y9999  ,20040914,5956.16,5919.77
M2300  ,20040914,225.33,224.4
2330,20040915,21.4876,21.4876
TWN50  ,20040915,4429.2,4391.19
Y9999  ,20040915,5910.76,5871.07
M2300  ,20040915,224.41,223.36
2330,20040916,21.0616,21.4876
TWN50  ,20040916,4369.33,4406.01
Y9999  ,20040916,5826.38,5891.05
M2300  ,20040916,221.75,224.64
2330,20040917,21.2983,21.2036
TWN50  ,20040917,4404.99,4345.93
Y9999  ,20040917,5901.79,5818.39
M2300  ,20040917,225.28,222.28
2330,20040920,21.3456,21.3929
TWN50  ,20040920,4359.33,4388.27
Y9999  ,20040920,5846.74,5864.54
M2300  ,20040920,223.51,221.18
2330,20040921,21.7716,21.7716
TWN50  ,20040921,4410.74,4463.57
Y9999  ,20040921,5901.97,5949.26
M2300  ,20040921,223.09,223.75
2330,20040922,21.7716,21.6769
TWN50  ,20040922,4472.07,4463.56
Y9999  ,20040922,5961.91,5970.18
M2300  ,20040922,224.19,224.28
2330,20040923,21.2036,21.2509
TWN50  ,20040923,4433.29,4437.04
Y9999  ,20040923,5921.68,5937.25
M2300  ,20040923,222.44,223.78
2330,20040924,21.2983,20.683
TWN50  ,20040924,4441.05,4391.05
Y9999  ,20040924,5943.87,5892.21
M2300  ,20040924,224.37,220.97
2330,20040927,20.541,20.3517
TWN50  ,20040927,4372.49,4358.79
Y9999  ,20040927,5872.02,5849.22
M2300  ,20040927,219.71,217.5
2330,20040929,20.115,20.2097
TWN50  ,20040929,4349.62,4329.21
Y9999  ,20040929,5843.7,5809.75
M2300  ,20040929,216.81,216.48
2330,20040930,20.399,20.4937
TWN50  ,20040930,4351.3,4363.62
Y9999  ,20040930,5864.05,5845.69
M2300  ,20040930,219,217.18
2330,20041001,20.7777,21.0616
TWN50  ,20041001,4381.25,4448.93
Y9999  ,20041001,5869.42,5945.35
M2300  ,20041001,217.93,218.95
2330,20041004,21.2983,21.5349
TWN50  ,20041004,4474.57,4557.71
Y9999  ,20041004,6020.68,6077.96
M2300  ,20041004,222.17,224.33
2330,20041005,21.5349,21.4403
TWN50  ,20041005,4563.52,4551.92
Y9999  ,20041005,6088.05,6081.01
M2300  ,20041005,225.18,224.47
2330,20041006,21.4403,21.2983
TWN50  ,20041006,4558.07,4540.59
Y9999  ,20041006,6093.22,6060.61
M2300  ,20041006,225.05,224.83
2330,20041007,21.4403,21.2983
TWN50  ,20041007,4541.5,4574.65
Y9999  ,20041007,6116.1,6103
M2300  ,20041007,226.93,224.74
2330,20041008,20.683,20.4937
TWN50  ,20041008,4554.56,4559.97
Y9999  ,20041008,6083.01,6102.16
M2300  ,20041008,223.47,222.7
2330,20041011,20.257,20.257
TWN50  ,20041011,4537.62,4530.46
Y9999  ,20041011,6079.25,6089.28
M2300  ,20041011,221.26,220.66
2330,20041012,20.257,20.1624
TWN50  ,20041012,4521.84,4442.98
Y9999  ,20041012,6073.47,5979.56
M2300  ,20041012,219.49,217.05
2330,20041013,20.257,20.1624
TWN50  ,20041013,4446.12,4429.4
Y9999  ,20041013,5993.94,5963.07
